Open,High,Low,Close,Adj Close,Volume,Return,Z_Score,Anomaly,Close_Diff,Lag_1,Lag_2,Lag_3,Lag_7,MA_7,MA_30
72.094284,72.794289,71.714287,72.779999,62.892056,115099600,0.013648968789040206,0.7889798122214141,0,0.9799959999999999,71.800003,70.488571,70.452858,65.668571,69.55367385714285,63.5746666
73.465714,75.184288,70.984283,71.095711,61.4366,376530000,-0.023142182236083997,-1.4927998033059888,0,-1.6842880000000093,72.779999,71.800003,70.488571,66.281425,70.24142900000001,63.98628553333333
70.214287,72.127144,69.51857,71.744286,61.997032,236138000,0.00912256155649116,0.5082529671234399,0,0.6485750000000081,71.095711,72.779999,71.800003,66.975716,70.92265328571429,64.40899976666667
71.872856,72.538574,71.471428,71.73143,61.985954,133951300,-0.00017919197077242988,-0.06863987248019754,0,-0.012855999999999312,71.744286,71.095711,72.779999,68.097145,71.44183685714286,64.8094284
72.41143,73.550003,72.017143,73.550003,63.557446,151398800,0.025352526779404805,1.5148320703723033,0,1.8185730000000007,71.73143,71.744286,71.095711,70.452858,71.88428614285714,65.2496666
73.297142,73.641426,72.724289,73.291428,63.334015,120825600,-0.0035156354786282096,-0.27556541224885606,0,-0.25857500000000755,73.550003,71.73143,71.744286,70.488571,72.28469428571428,65.6844761
73.582855,73.975716,72.785713,73.769997,63.747555,142006900,0.006529672201229353,0.347442502886696,0,0.47856900000000735,73.291428,73.550003,71.73143,71.800003,72.566122,66.12804746666667
74.238571,74.699997,74.091431,74.629997,64.49073,103768000,0.011657855970903741,0.6654914049808645,0,0.8599999999999994,73.769997,73.291428,73.550003,72.779999,72.83040742857143,66.6035712
74.472855,75.5,73.754288,75.108574,64.904282,136895500,0.006412662725954643,0.3401855993089018,0,0.47857700000000136,74.629997,73.769997,73.291428,71.095711,73.40367357142857,67.10057133333333
75.422859,76.487144,75.121429,76.487144,66.095551,150096800,0.01835436257916445,1.0808073667875324,0,1.3785699999999963,75.108574,74.629997,73.769997,71.744286,74.08122471428571,67.65104753333334
77.365715,78.230003,76.528572,77.491432,66.963387,238002800,0.013130154264878957,0.7568030421969517,0,1.0042880000000025,76.487144,75.108574,74.629997,71.73143,74.90408214285715,68.2117143
78.309998,78.315712,76.96714,77.781425,67.213989,170817500,0.0037422588861177886,0.1745677026900974,0,0.2899929999999955,77.491432,76.487144,75.108574,73.550003,75.508571,68.76104746666667
